date,trip_year,trip_month,trip_day,weekday,n_trips,n_csl_trips,prop_lobster,all_all,csl_all,all_hook_and_line,all_spear_or_hand,all_nets,all_traps,all_unknown,all_diving,all_combined_gears,csl_spear_or_hand,csl_traps,csl_nets,csl_hook_and_line,csl_unknown,csl_diving,csl_combined_gears,year,is_sunday
1985-04-19,1985,4,19,Friday,19,0,0,684,0,192,10,0,432,0,50,0,0,0,0,0,0,0,0,1985,0
1985-04-20,1985,4,20,Saturday,42,3,0.071428571,2268,95,593,80,175,1190,0,230,0,0,15,0,0,0,80,0,1985,0
1985-04-21,1985,4,21,Sunday,22,0,0,765,0,315,38,20,332,0,60,0,0,0,0,0,0,0,0,1985,1
1985-04-22,1985,4,22,Monday,20,0,0,1373,0,460,38,104,508,0,263,0,0,0,0,0,0,0,0,1985,0
1985-04-23,1985,4,23,Tuesday,19,0,0,1391,0,574,0,57,613,0,147,0,0,0,0,0,0,0,0,1985,0
1985-04-24,1985,4,24,Wednesday,17,0,0,644,0,289,0,15,284,0,56,0,0,0,0,0,0,0,0,1985,0
1985-04-25,1985,4,25,Thursday,24,0,0,1355,0,542,30,172,428,0,183,0,0,0,0,0,0,0,0,1985,0
1985-04-26,1985,4,26,Friday,22,0,0,1338,0,502,10,20,551,0,255,0,0,0,0,0,0,0,0,1985,0
1985-04-27,1985,4,27,Saturday,38,0,0,1587,0,146,0,89,1192,0,160,0,0,0,0,0,0,0,0,1985,0
1985-04-28,1985,4,28,Sunday,14,0,0,816,0,263,0,0,397,0,156,0,0,0,0,0,0,0,0,1985,1
1985-04-29,1985,4,29,Monday,24,0,0,879,0,411,0,49,229,0,190,0,0,0,0,0,0,0,0,1985,0
1985-04-30,1985,4,30,Tuesday,22,0,0,1342,0,451,0,79,812,0,0,0,0,0,0,0,0,0,0,1985,0
1985-05-01,1985,5,1,Wednesday,22,0,0,1053,0,347,0,112,489,0,105,0,0,0,0,0,0,0,0,1985,0
1985-05-02,1985,5,2,Thursday,21,0,0,1075,0,524,0,19,352,0,180,0,0,0,0,0,0,0,0,1985,0
1985-05-03,1985,5,3,Friday,24,0,0,1214,0,712,20,41,296,0,145,0,0,0,0,0,0,0,0,1985,0
1985-05-04,1985,5,4,Saturday,47,0,0,2285,0,438,6,88,1729,0,24,0,0,0,0,0,0,0,0,1985,0
1985-05-05,1985,5,5,Sunday,22,3,0.136363636,1586,41,442,0,404,632,0,108,0,0,8,0,0,0,33,0,1985,1
1985-05-06,1985,5,6,Monday,22,0,0,937,0,431,0,81,345,0,80,0,0,0,0,0,0,0,0,1985,0
1985-05-07,1985,5,7,Tuesday,26,0,0,1187,0,431,0,57,529,0,170,0,0,0,0,0,0,0,0,1985,0
1985-05-08,1985,5,8,Wednesday,27,0,0,1332,0,347,0,15,910,0,60,0,0,0,0,0,0,0,0,1985,0
1985-05-09,1985,5,9,Thursday,15,0,0,621,0,179,4,90,318,0,30,0,0,0,0,0,0,0,0,1985,0
1985-05-10,1985,5,10,Friday,20,0,0,1093,0,260,0,16,595,0,222,0,0,0,0,0,0,0,0,1985,0
1985-05-11,1985,5,11,Saturday,42,0,0,2056,0,388,0,113,1440,0,115,0,0,0,0,0,0,0,0,1985,0
1985-05-12,1985,5,12,Sunday,16,0,0,810,0,245,0,30,445,0,90,0,0,0,0,0,0,0,0,1985,1
1985-05-13,1985,5,13,Monday,17,0,0,973,0,414,0,11,486,0,62,0,0,0,0,0,0,0,0,1985,0
1985-05-14,1985,5,14,Tuesday,17,0,0,937,0,368,0,20,474,0,75,0,0,0,0,0,0,0,0,1985,0
1985-05-15,1985,5,15,Wednesday,23,0,0,1369,0,851,0,0,488,0,30,0,0,0,0,0,0,0,0,1985,0
1985-05-16,1985,5,16,Thursday,20,0,0,734,0,431,0,19,134,0,150,0,0,0,0,0,0,0,0,1985,0
1985-05-17,1985,5,17,Friday,26,0,0,1502,0,494,20,10,928,0,50,0,0,0,0,0,0,0,0,1985,0
1985-05-18,1985,5,18,Saturday,40,3,0.075,1832,91,262,0,40,1400,0,130,0,0,41,0,0,0,50,0,1985,0
1985-05-19,1985,5,19,Sunday,19,0,0,711,0,222,32,98,229,0,130,0,0,0,0,0,0,0,0,1985,1
1985-05-20,1985,5,20,Monday,21,0,0,1284,0,381,0,24,779,0,100,0,0,0,0,0,0,0,0,1985,0
1985-05-21,1985,5,21,Tuesday,19,0,0,926,0,359,0,21,546,0,0,0,0,0,0,0,0,0,0,1985,0
1985-05-22,1985,5,22,Wednesday,18,0,0,640,0,367,0,22,201,0,50,0,0,0,0,0,0,0,0,1985,0
1985-05-23,1985,5,23,Thursday,20,3,0.15,607,34,238,18,17,242,0,92,0,0,22,0,0,0,12,0,1985,0
1985-05-24,1985,5,24,Friday,25,0,0,1465,0,184,75,11,1115,0,80,0,0,0,0,0,0,0,0,1985,0
