date,year,month,weekday,n_trips,n_csl_trips,all_all,csl_all,max_wind_ms,max_wind_kt,max_gust_ms,max_gust_kt,max_swh_m,population,csl_trips_per_1k,all_trips_per_1k,csl_lbs_per_1k,all_lbs_per_1k,is_sunday,wind_ok,wave_ok,fdi,fdi_rolling
1992-09-29,1992,9,Tuesday,14.0,0.0,763.0,0.0,5.390163059555721,10.477638763518929,7.8328547,15.225851449565605,1.1025219,105712,0.0,0.1324352958982897,0.0,7.217723626456788,0,1,1,1,187.0
1992-09-30,1992,9,Wednesday,27.0,0.0,1730.0,0.0,4.758671841474486,9.250118038768333,7.102149,13.80547320080901,1.1740202,105712,0.0,0.2554109278038444,0.0,16.365218707431513,0,1,1,1,187.0
1992-10-01,1992,10,Thursday,14.0,0.0,697.0,0.0,4.066604541519053,7.9048468310407864,6.1149774,11.886565125464527,1.111379,105712,0.0,0.1324352958982897,0.0,6.59338580293628,0,1,1,1,188.0
1992-10-02,1992,10,Friday,22.0,0.0,1730.0,0.0,4.119525053488574,8.007716076640719,5.998682,11.66050495296218,0.97628725,105712,0.0,0.20811260784016952,0.0,16.365218707431513,0,1,1,1,189.0
1992-10-03,1992,10,Saturday,51.0,5.0,2950.0,96.0,4.878409312536721,9.482869062139194,7.1390853,13.877271624044997,0.87100756,105712,0.047298319963674895,0.48244286362948385,0.9081277433025579,27.906008778568186,0,1,1,1,189.0
1992-10-04,1992,10,Sunday,16.0,0.0,878.0,0.0,4.7199284312111525,9.174806874204142,6.9858084,13.579325166535716,0.8989795,105712,0.0,0.15135462388375964,0.0,8.305584985621312,1,1,1,1,189.0
1992-10-05,1992,10,Monday,22.0,0.0,1830.0,0.0,5.586281649183651,10.858862803353754,7.2908883,14.172353049160467,0.9315966,105712,0.0,0.20811260784016952,0.0,17.311185106705008,0,1,1,1,189.0
1992-10-06,1992,10,Tuesday,23.0,0.0,2335.0,0.0,3.305888924723954,6.426133970876682,5.5344543,10.758118496211807,0.85657245,105712,0.0,0.21757227183290448,0.0,22.08831542303617,0,1,1,1,189.0
1992-10-07,1992,10,Wednesday,25.0,0.0,1911.0,0.0,3.3934696952939984,6.596377369179218,5.258517,10.221739296021331,0.7375759,105712,0.0,0.23649159981837448,0.0,18.077417890116543,0,1,1,1,189.0
1992-10-08,1992,10,Thursday,24.0,0.0,3932.0,0.0,4.12524022863915,8.018825488366552,6.4645157,12.566013223963493,0.81754845,105712,0.0,0.22703193582563946,0.0,37.19539881943393,0,1,1,1,189.0
1992-10-09,1992,10,Friday,23.0,3.0,1531.0,40.0,6.982802596755689,13.573482352461237,9.718422,18.89110105619478,1.0253377,105712,0.028378991978204933,0.21757227183290448,0.37838655970939916,14.482745572877251,0,1,1,1,189.0
1992-10-10,1992,10,Saturday,50.0,8.0,2898.0,121.0,6.3249614523419,12.2947414685972,8.734095,16.97772244088655,1.3228999,105712,0.07567731194187982,0.47298319963674895,1.1446193431209324,27.414106250945967,0,1,1,1,189.0
1992-10-11,1992,10,Sunday,17.0,0.0,684.0,0.0,5.822864258410513,11.318742604729211,8.628421,16.77230861825029,1.2111379,105712,0.0,0.16081428787649463,0.0,6.470410171030726,1,1,1,1,189.0
1992-10-12,1992,10,Monday,24.0,0.0,1489.0,0.0,5.025305760973551,9.768412914033695,7.2272515,14.048653006119237,0.9733069,105712,0.0,0.22703193582563946,0.0,14.085439685182383,0,1,1,1,189.0
1992-10-13,1992,10,Tuesday,18.0,0.0,1193.0,0.0,3.803716239279088,7.3938328532461775,6.0375752,11.736107285480648,0.7763621,105712,0.0,0.17027395186922958,0.0,11.285379143332829,0,1,1,1,189.0
1992-10-14,1992,10,Wednesday,27.0,0.0,4635.0,0.0,4.871880995258038,9.470179028568053,7.276647,14.144670176625029,0.802085,105712,0.0,0.2554109278038444,0.0,43.845542606326624,0,1,1,1,189.0
1992-10-15,1992,10,Thursday,16.0,0.0,692.0,0.0,5.749678279766726,11.176480443397228,7.7474966,15.059928577203735,0.9021288,105712,0.0,0.15135462388375964,0.0,6.546087482972604,0,1,1,1,189.0
1992-10-16,1992,10,Friday,21.0,3.0,1561.0,98.0,5.85504980196337,11.381306296222087,8.416075,16.35954101617675,0.9446955,105712,0.028378991978204933,0.19865294384743454,0.9270470712880279,14.766535492659301,0,1,1,1,189.0
1992-10-17,1992,10,Saturday,40.0,4.0,2320.0,112.0,6.008096755498158,11.678805773561972,8.717259,16.94499587505291,0.9409528,105712,0.03783865597093991,0.37838655970939916,1.0594823671863176,21.94642046314515,0,1,1,1,189.0
1992-10-18,1992,10,Sunday,20.0,0.0,1010.0,0.0,5.2453371498524435,10.196119716932976,7.130986,13.86152784436714,0.92146933,105712,0.0,0.18919327985469958,0.0,9.554260632662327,1,1,1,1,189.0
1992-10-19,1992,10,Monday,21.0,0.0,1151.0,0.0,4.009443877614575,7.793735389465326,5.9019403,11.472454132463946,0.8884556,105712,0.0,0.19865294384743454,0.0,10.888073255637961,0,1,1,1,189.0
1992-10-20,1992,10,Tuesday,20.0,3.0,1594.0,29.0,5.095363442152296,9.904594151575175,7.5716763,14.718161255818588,0.86919016,105712,0.028378991978204933,0.18919327985469958,0.27433025578931436,15.078704404419556,0,1,1,1,189.0
1992-10-21,1992,10,Wednesday,25.0,0.0,1155.0,0.0,5.474744613935613,10.642052151955918,8.443417,16.41268961222233,0.9333878,105712,0.0,0.23649159981837448,0.0,10.9259119116089,0,1,1,1,189.0
1992-10-22,1992,10,Thursday,12.0,0.0,669.0,0.0,4.913588551980267,9.55125203289392,7.891787,15.34040667620363,0.97611576,105712,0.0,0.11351596791281973,0.0,6.3285152111397,0,1,1,1,189.0
1992-10-23,1992,10,Friday,20.0,0.0,980.0,0.0,2.5913911613001357,5.03726143032797,4.2574587,8.275837635397563,1.2964631,105712,0.0,0.18919327985469958,0.0,9.270470712880279,0,1,1,1,189.0
1992-10-24,1992,10,Saturday,42.0,3.0,2271.0,67.0,5.581932699541721,10.850409121555,9.3947115,18.261858184414635,1.5090642,105712,0.028378991978204933,0.3973058876948691,0.6337974875132435,21.482896927501137,0,1,1,1,189.0
1992-10-25,1992,10,Sunday,18.0,0.0,1028.0,0.0,7.325076615805696,14.23880981846175,9.368476,18.21086045229724,1.5972713,105712,0.0,0.17027395186922958,0.0,9.724534584531558,1,1,1,1,189.0
1992-10-26,1992,10,Monday,17.0,0.0,1097.0,0.0,6.616128789345408,12.860725492299443,8.909515,17.318711641322352,1.4839801,105712,0.0,0.16081428787649463,0.0,10.377251400030271,0,1,1,1,189.0
1992-10-27,1992,10,Tuesday,13.0,0.0,1185.0,0.0,7.260960027614195,14.114177141788101,9.864867,19.17576736253283,1.3336772,105712,0.0,0.1229756319055547,0.0,11.209701831390948,0,1,1,1,189.0
1992-10-28,1992,10,Wednesday,18.0,0.0,1150.0,0.0,7.44317963558044,14.468383722703246,10.694904,20.78923021147896,1.277278,105712,0.0,0.17027395186922958,0.0,10.878613591645225,0,1,1,1,189.0
1992-10-29,1992,10,Thursday,21.0,0.0,1080.0,0.0,8.694743448447873,16.901229144229,12.117033,23.55362783219817,1.3634338,105712,0.0,0.19865294384743454,0.0,10.216437112153775,0,0,1,0,188.0
1992-10-30,1992,10,Friday,20.0,0.0,1675.0,0.0,6.845724485103271,13.30702382042608,9.675696,18.80804835651504,1.0785347,105712,0.0,0.18919327985469958,0.0,15.844937187831087,0,1,1,1,188.0
1992-10-31,1992,10,Saturday,34.0,0.0,2138.0,0.0,6.927877015696988,13.466715564360234,9.306147,18.08970256908003,0.99461454,105712,0.0,0.32162857575298925,0.0,20.224761616467383,0,1,1,1,189.0
1992-11-01,1992,11,Sunday,9.0,0.0,816.0,0.0,6.498095410800565,12.631286959778965,8.902911,17.30587449231039,1.0226877,105712,0.0,0.08513697593461479,0.0,7.719085818071742,1,1,1,1,190.0
1992-11-02,1992,11,Monday,20.0,3.0,1158.0,140.0,8.177883234293958,15.89653326484569,11.478976,22.313344248442238,1.2113497,105712,0.028378991978204933,0.18919327985469958,1.324352958982897,10.954290903587104,0,1,1,1,190.99999999999997
1992-11-03,1992,11,Tuesday,18.0,0.0,925.0,0.0,8.485828140696944,16.4951302743807,12.052094,23.42739651486206,1.3166308,105712,0.0,0.17027395186922958,0.0,8.750189193279855,0,1,1,1,191.99999999999997
1992-11-04,1992,11,Wednesday,26.0,0.0,2488.0,0.0,9.701783232390156,18.858757879455993,13.000687,25.27131379116463,1.7934225,105712,0.0,0.2459512638111094,0.0,23.535644013924628,0,0,0,0,191.99999999999997
1992-11-05,1992,11,Thursday,22.0,0.0,1276.0,0.0,10.047945022703809,19.531642568205726,13.622687,26.48038506394463,1.7950449,105712,0.0,0.20811260784016952,0.0,12.070531254729831,0,0,0,0,191.99999999999997
1992-11-06,1992,11,Friday,19.0,4.0,1178.0,94.0,8.699355178909418,16.910193631076037,12.301058,23.91134381447042,2.0196676,105712,0.03783865597093991,0.17973361586196457,0.8892084153170879,11.143484183441803,0,0,0,0,191.99999999999997
1992-11-07,1992,11,Saturday,42.0,6.0,2580.0,182.0,9.728574796295952,18.910836513332757,12.904309,25.08396994690741,2.1163194,105712,0.056757983956409866,0.3973058876948691,1.7216588466777658,24.405933101256245,0,0,0,0,191.99999999999997
1992-11-08,1992,11,Sunday,11.0,0.0,813.0,0.0,9.210042964431809,17.902891269074036,13.099363,25.46312459005987,1.9987707,105712,0.0,0.10405630392008476,0.0,7.690706826093537,1,0,0,0,190.99999999999997
1992-11-09,1992,11,Monday,22.0,3.0,1341.0,109.0,9.062182380546364,17.615473287800132,12.795443,24.87235137265907,1.7730892,105712,0.028378991978204933,0.20811260784016952,1.0311033752081127,12.685409414257606,0,0,0,0,190.0
1992-11-10,1992,11,Tuesday,25.0,4.0,1736.0,129.0,8.330739732721405,16.193662527074576,12.43546,24.1726004016154,1.4450647,105712,0.03783865597093991,0.23649159981837448,1.2202966550628123,16.421976691387922,0,1,1,1,190.0
1992-11-11,1992,11,Wednesday,32.0,4.0,1786.0,84.0,8.211476477649862,15.961833305844292,11.136655,21.64792545878095,1.3255734,105712,0.03783865597093991,0.3027092477675193,0.7946117753897382,16.894959891024673,0,1,1,1,190.0
1992-11-12,1992,11,Thursday,25.0,3.0,2062.0,79.0,7.183554361860391,13.963712564917788,9.6821785,18.820649328421464,1.26518,105712,0.028378991978204933,0.23649159981837448,0.7473134554260633,19.505827153019524,0,1,1,1,190.0
1992-11-13,1992,11,Friday,18.0,0.0,1224.0,0.0,6.960172175318527,13.529492332444233,9.015288,17.52431790456312,1.2965286,105712,0.0,0.17027395186922958,0.0,11.578628727107613,0,1,1,1,190.0
1992-11-14,1992,11,Saturday,46.0,0.0,2665.0,0.0,6.123615545633365,11.90335633725776,9.464534,18.397582266317663,1.717535,105712,0.0,0.43514454366580896,0.0,25.210004540638714,0,1,1,1,190.0
1992-11-15,1992,11,Sunday,20.0,0.0,1206.0,0.0,7.340325686060913,14.268451639654975,9.922179,19.28717297794371,1.435499,105712,0.0,0.18919327985469958,0.0,11.408354775238383,1,1,1,1,190.0
1992-11-16,1992,11,Monday,21.0,4.0,3829.0,266.0,5.474196098111302,10.640985922493154,8.139453,15.82183086566397,1.1439174,105712,0.03783865597093991,0.19865294384743454,2.516270622067504,36.22105342818223,0,1,1,1,190.0
1992-11-17,1992,11,Tuesday,26.0,0.0,1824.0,0.0,5.826875098772691,11.326539054667501,8.437635,16.40145030338115,0.99720633,105712,0.0,0.2459512638111094,0.0,17.2544271227486,0,1,1,1,190.0
1992-11-18,1992,11,Wednesday,23.0,0.0,1007.0,0.0,6.416026458732199,12.471757679500799,9.000951,17.49644900610999,1.1091582,105712,0.0,0.21757227183290448,0.0,9.525881640684124,0,1,1,1,190.0
1992-11-19,1992,11,Thursday,23.0,0.0,3787.0,0.0,6.506256820194688,12.647151470460365,8.451083,16.42759112408267,1.1043082,105712,0.0,0.21757227183290448,0.0,35.82374754048736,0,1,1,1,190.99999999999997
1992-11-20,1992,11,Friday,18.0,0.0,1015.0,0.0,6.319710241134981,12.284533930626804,9.412444,18.296327406833562,1.1944058,105712,0.0,0.17027395186922958,0.0,9.601558952626002,0,1,1,1,191.99999999999997
1992-11-21,1992,11,Saturday,44.0,3.0,2232.0,58.0,4.7591020363201135,9.250954270648633,7.5635753,14.702414171605097,1.2930712,105712,0.028378991978204933,0.41622521568033904,0.5486605115786287,21.11397003178447,0,1,1,1,193.00000000000003
1992-11-22,1992,11,Sunday,14.0,0.0,573.0,0.0,12.482406344137754,24.263856793993217,16.994926,33.03549326305774,3.0566335,105712,0.0,0.1324352958982897,0.0,5.420387467837143,1,0,0,0,193.00000000000003
1992-11-23,1992,11,Monday,19.0,4.0,1849.0,356.0,12.902737879924056,25.080915933804658,17.292133,33.61321745239717,3.2672193,105712,0.03783865597093991,0.17973361586196457,3.3676403814136524,17.490918722566978,0,0,0,0,193.00000000000003
1992-11-24,1992,11,Tuesday,18.0,0.0,901.0,0.0,11.380713545024012,22.122337316763293,15.350359,29.83871076167191,2.920066,105712,0.0,0.17027395186922958,0.0,8.523157257454216,0,0,0,0,193.00000000000003
1992-11-25,1992,11,Wednesday,26.0,4.0,2276.0,63.0,9.87382154633458,19.193173608085754,13.22873,25.7145939201977,2.17426,105712,0.03783865597093991,0.2459512638111094,0.5959588315423036,21.53019524746481,0,0,0,0,193.00000000000003
1992-11-26,1992,11,Thursday,16.0,0.0,805.0,0.0,9.617605777341387,18.695129997277224,13.4804735,26.203944135566015,1.9487215,105712,0.0,0.15135462388375964,0.0,7.615029514151658,0,0,0,0,193.00000000000003
1992-11-27,1992,11,Friday,18.0,0.0,1174.0,0.0,10.29484704169955,20.01158169740047,14.714505,28.60270946732745,2.1429455,105712,0.0,0.17027395186922958,0.0,11.105645527470864,0,0,0,0,193.00000000000003
1992-11-28,1992,11,Saturday,40.0,0.0,2123.0,0.0,8.181847456170596,15.90423909569773,11.70952,22.7614859325448,1.7166615,105712,0.0,0.37838655970939916,0.0,20.082866656576357,0,1,1,1,194.0
1992-11-29,1992,11,Sunday,15.0,0.0,597.0,0.0,7.8630509957583055,15.284548352693795,12.463079,24.226287442584713,1.6095684,105712,0.0,0.14189495989102469,0.0,5.647419403662782,1,1,1,1,195.0
1992-11-30,1992,11,Monday,17.0,0.0,1224.0,0.0,8.30687382015386,16.147270904431334,11.227801,21.82509910866649,1.7332685,105712,0.0,0.16081428787649463,0.0,11.578628727107613,0,1,1,1,196.0
1992-12-01,1992,12,Tuesday,12.0,3.0,629.0,115.0,7.926249935500457,15.40739726348542,10.55649,20.520174920240102,1.3629038,105712,0.028378991978204933,0.11351596791281973,1.0878613591645223,5.950128651430301,0,1,1,1,197.0
1992-12-02,1992,12,Wednesday,24.0,0.0,1048.0,0.0,8.4396932479922,16.40545121739984,11.360691,22.083416602942588,1.3757088,105712,0.0,0.22703193582563946,0.0,9.913727864386258,0,1,1,1,198.0
1992-12-03,1992,12,Thursday,24.0,0.0,2603.0,0.0,8.287232600927114,16.109091428660538,11.218164,21.80636627931636,1.4294419,105712,0.0,0.22703193582563946,0.0,24.623505373089145,0,1,1,1,199.0
1992-12-04,1992,12,Friday,29.0,0.0,3703.0,0.0,9.206214100199276,17.89544855243267,12.055696,23.43439824271504,1.5679121,105712,0.0,0.27433025578931436,0.0,35.02913576509763,0,0,1,0,199.0
1992-12-05,1992,12,Saturday,49.0,4.0,2781.0,227.0,9.471575546585944,18.411269937849827,12.546656,24.388748133525443,1.6739733,105712,0.03783865597093991,0.46352353564401394,2.14734372635084,26.307325563795974,0,0,1,0,199.0
1992-12-06,1992,12,Sunday,19.0,0.0,919.0,0.0,7.533425169353865,14.643807006275829,10.506981,20.42393712338469,1.491329,105712,0.0,0.17973361586196457,0.0,8.693431209323446,1,1,1,1,200.0
1992-12-07,1992,12,Monday,21.0,3.0,1516.0,116.0,7.598203351363482,14.76972571844744,10.134555,19.699998895351953,1.236963,105712,0.028378991978204933,0.19865294384743454,1.0973210231572574,14.340850612986227,0,1,1,1,200.99999999999997
1992-12-08,1992,12,Tuesday,21.0,0.0,1376.0,0.0,7.631977011483447,14.835376461578766,10.36857,20.1548876636793,1.3470365,105712,0.0,0.19865294384743454,0.0,13.016497654003329,0,1,1,1,201.99999999999997
1992-12-09,1992,12,Wednesday,28.0,3.0,1571.0,116.0,6.427215377189926,12.493507196993908,9.028152,17.54932352008248,1.2508552,105712,0.028378991978204933,0.2648705917965794,1.0973210231572574,14.86113213258665,0,1,1,1,203.00000000000003
1992-12-10,1992,12,Thursday,27.0,4.0,4780.0,86.0,6.573410013100742,12.777686834476706,9.574149,18.610656780089013,1.0446513,105712,0.03783865597093991,0.2554109278038444,0.8135311033752081,45.2171938852732,0,1,1,1,204.0
1992-12-11,1992,12,Friday,24.0,0.0,2099.0,0.0,6.417910934084449,12.47542080653081,8.928812,17.356222008445883,0.9515534,105712,0.0,0.22703193582563946,0.0,19.855834720750718,0,1,1,1,205.0
1992-12-12,1992,12,Saturday,45.0,3.0,2234.0,66.0,5.740708961489403,11.1590454834848,8.028173,15.605519850816771,1.0961955,105712,0.028378991978204933,0.42568487967307406,0.6243378235205086,21.13288935976994,0,1,1,1,206.0
1992-12-13,1992,12,Sunday,15.0,0.0,1280.0,0.0,5.523134719709079,10.736114992434187,8.1140175,15.772388209138574,1.2296855,105712,0.0,0.14189495989102469,0.0,12.108369910700773,1,1,1,1,207.0
1992-12-14,1992,12,Monday,24.0,0.0,2952.0,0.0,3.792543514561336,7.372114813865288,5.275715,10.25516953356035,1.3721747,105712,0.0,0.22703193582563946,0.0,27.924928106553658,0,1,1,1,207.0
